,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2g9vSN-R03vmj0MJqH,parking_record_index_v2,101a0d01019a,2017-08-02T03:22:05.324Z,2017-08-02T03:22:05.000Z,722,fcffff070fff780061ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,120,-159,47
1,AV2g9ujq-R03vmj0MJqF,parking_record_index_v2,101a0d01019a,2017-08-02T03:22:02.345Z,2017-08-02T03:22:02.000Z,721,fcffff070fff770062ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,119,-158,47
2,AV2g9t1P-R03vmj0MJqD,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:59.373Z,2017-08-02T03:21:59.000Z,720,fcffff070fff760063ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,118,-157,47
3,AV2g9tML-R03vmj0MJqB,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:56.746Z,2017-08-02T03:21:56.000Z,719,fcffff070fff750065ff2f,yilan,宜蘭市中山路二段,111,192.168.88.113,-241,117,-155,47
4,AV2g9tLP-R03vmj0MJqA,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:56.686Z,2017-08-02T03:21:56.000Z,719,fcffff070fff750065ff2f,yilan,宜蘭市中山路二段,111,192.168.88.150,-241,117,-155,47
5,AV2g9tHG-R03vmj0MJp_,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:56.421Z,2017-08-02T03:21:56.000Z,719,fcffff070fff750065ff2f,yilan,宜蘭市中山路二段,111,192.168.88.122,-241,117,-155,47
6,AV2g9tF9-R03vmj0MJp-,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:56.347Z,2017-08-02T03:21:56.000Z,719,fcffff070fff750065ff2f,yilan,宜蘭市中山路二段,111,192.168.0.3,-241,117,-155,47
7,AV2g9tFZ-R03vmj0MJp9,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:56.312Z,2017-08-02T03:21:56.000Z,719,fcffff070fff750065ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,117,-155,47
8,AV2g9sWy-R03vmj0MJp8,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:53.329Z,2017-08-02T03:21:53.000Z,718,fcffff070eff750065ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-242,117,-155,47
9,AV2g9rnq-R03vmj0MJp5,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:50.313Z,2017-08-02T03:21:50.000Z,717,fcffff070eff780066ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-242,120,-154,47
10,AV2g9q5M-R03vmj0MJp3,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:47.339Z,2017-08-02T03:21:47.000Z,716,fcffff0709ff82006aff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-247,130,-150,47
11,AV2g9qKc-R03vmj0MJp2,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:44.346Z,2017-08-02T03:21:44.000Z,715,fcffff0702ff900073ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,144,-141,47
12,AV2g9pbV-R03vmj0MJpz,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:41.332Z,2017-08-02T03:21:41.000Z,714,fcffff0702ff8f0072ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,143,-142,47
13,AV2g9osF-R03vmj0MJpu,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:38.307Z,2017-08-02T03:21:38.000Z,713,fcffff0702ff8f0071ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,143,-143,47
14,AV2g9n9N-R03vmj0MJpt,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:35.308Z,2017-08-02T03:21:35.000Z,712,fcffff0702ff8e0073ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,142,-141,47
15,AV2g9nQ--R03vmj0MJpr,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:32.477Z,2017-08-02T03:21:32.000Z,711,fcffff0702ff8c0074ff2f,yilan,宜蘭市中山路二段,111,192.168.88.113,-254,140,-140,47
16,AV2g9nQz-R03vmj0MJpq,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:32.466Z,2017-08-02T03:21:32.000Z,711,fcffff0702ff8c0074ff2f,yilan,宜蘭市中山路二段,111,192.168.0.3,-254,140,-140,47
17,AV2g9nQH-R03vmj0MJpp,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:32.421Z,2017-08-02T03:20:17.000Z,711,fcffff0702ff8c0074ff2f,yilan,宜蘭市中山路二段,111,192.168.0.225,-254,140,-140,47
18,AV2g9nPY-R03vmj0MJpo,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:32.375Z,2017-08-02T03:21:32.000Z,711,fcffff0702ff8c0074ff2f,yilan,宜蘭市中山路二段,111,10.5.180.16,-254,140,-140,47
19,AV2g9nPU-R03vmj0MJpn,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:32.370Z,2017-08-02T03:21:32.000Z,711,fcffff0702ff8c0074ff2f,yilan,宜蘭市中山路二段,111,192.168.88.122,-254,140,-140,47
20,AV2g9nOY-R03vmj0MJpm,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:32.311Z,2017-08-02T03:21:32.000Z,711,fcffff0702ff8c0074ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,140,-140,47
21,AV2g9mgP-R03vmj0MJpl,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:29.358Z,2017-08-02T03:21:29.000Z,710,fcffff0702ff8c0075ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,140,-139,47
22,AV2g9lxQ-R03vmj0MJpf,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:26.351Z,2017-08-02T03:21:26.000Z,709,fcffff0702ff8c0075ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,140,-139,47
23,AV2g9lBj-R03vmj0MJpZ,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:23.298Z,2017-08-02T03:21:23.000Z,708,fcffff0702ff8d0076ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,141,-138,47
24,AV2g9kTC-R03vmj0MJpV,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:20.321Z,2017-08-02T03:21:20.000Z,707,fcffff0702ff8d0076ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,141,-138,47
25,AV2g9jkR-R03vmj0MJpT,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:17.328Z,2017-08-02T03:21:17.000Z,706,fcffff0702ff8c0076ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,140,-138,47
26,AV2g9i1T-R03vmj0MJpR,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:14.321Z,2017-08-02T03:21:14.000Z,705,fcffff0702ff8c0075ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,140,-139,47
27,AV2g9iGj-R03vmj0MJpO,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:11.330Z,2017-08-02T03:21:11.000Z,704,fcffff0702ff8c0075ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,140,-139,47
28,AV2g9ha--R03vmj0MJpL,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:08.541Z,2017-08-02T03:21:08.000Z,703,fcffff0702ff8e0075ff2f,yilan,宜蘭市中山路二段,111,192.168.88.150,-254,142,-139,47
29,AV2g9hZY-R03vmj0MJpK,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:08.438Z,2017-08-02T03:21:08.000Z,703,fcffff0702ff8e0075ff2f,yilan,宜蘭市中山路二段,111,192.168.88.122,-254,142,-139,47
30,AV2g9hYV-R03vmj0MJpJ,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:08.371Z,2017-08-02T03:21:08.000Z,703,fcffff0702ff8e0075ff2f,yilan,宜蘭市中山路二段,111,192.168.88.113,-254,142,-139,47
31,AV2g9hYO-R03vmj0MJpI,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:08.365Z,2017-08-02T03:21:08.000Z,703,fcffff0702ff8e0075ff2f,yilan,宜蘭市中山路二段,111,192.168.0.3,-254,142,-139,47
32,AV2g9hX8-R03vmj0MJpH,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:08.347Z,2017-08-02T03:21:08.000Z,703,fcffff0702ff8e0075ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,142,-139,47
33,AV2g9hXy-R03vmj0MJpG,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:08.337Z,2017-08-02T03:19:53.000Z,703,fcffff0702ff8e0075ff2f,yilan,宜蘭市中山路二段,111,192.168.0.225,-254,142,-139,47
34,AV2g9hXs-R03vmj0MJpF,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:08.331Z,2017-08-02T03:21:08.000Z,703,fcffff0702ff8e0075ff2f,yilan,宜蘭市中山路二段,111,10.5.180.16,-254,142,-139,47
35,AV2g9gpO-R03vmj0MJpE,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:05.356Z,2017-08-02T03:21:05.000Z,702,fcffff0702ff8e0073ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,142,-141,47
36,AV2g9f6b-R03vmj0MJpB,parking_record_index_v2,101a0d01019a,2017-08-02T03:21:02.362Z,2017-08-02T03:21:02.000Z,701,fcffff0702ff8f0071ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,143,-143,47
37,AV2g9fLO-R03vmj0MJo_,parking_record_index_v2,101a0d01019a,2017-08-02T03:20:59.340Z,2017-08-02T03:20:59.000Z,700,fcffff0703ff8f0071ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-253,143,-143,47
38,AV2g9ece-R03vmj0MJo7,parking_record_index_v2,101a0d01019a,2017-08-02T03:20:56.349Z,2017-08-02T03:20:56.000Z,699,fcffff0703ff8f0071ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-253,143,-143,47
39,AV2g9ds--R03vmj0MJo5,parking_record_index_v2,101a0d01019a,2017-08-02T03:20:53.309Z,2017-08-02T03:20:53.000Z,698,fcffff0703ff8f0071ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-253,143,-143,47
40,AV2g9c-n-R03vmj0MJo1,parking_record_index_v2,101a0d01019a,2017-08-02T03:20:50.341Z,2017-08-02T03:20:50.000Z,697,fcffff0703ff8e0074ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-253,142,-140,47
41,AV2g9cPh-R03vmj0MJoz,parking_record_index_v2,101a0d01019a,2017-08-02T03:20:47.328Z,2017-08-02T03:20:47.000Z,696,fcffff0702ff8d0075ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,141,-139,47
42,AV2g9bmB-R03vmj0MJoy,parking_record_index_v2,101a0d01019a,2017-08-02T03:20:44.671Z,2017-08-02T03:20:44.000Z,695,fcffff0700ff8e007cff2f,yilan,宜蘭市中山路二段,111,192.168.88.122,-256,142,-132,47
