time,Mag1_X,Mag1_Y,Mag1_Z,Mag1_Len,Mag1_CarLen,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,Mag2_Len,Mag2_CarLen,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,Mag3_Len,Mag3_CarLen,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,Mag4_Len,Mag4_CarLen,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
19:29.7,178,-104,-153,256.727482,3.748973339,177.644758,-105.033814,-156.5860609,0,198,-74,-243,322.0698682,1.770508181,198.3000466,-73.96477244,-244.744543,0,303,-54,-196,364.8849134,0.323512687,303.116248,-53.74018293,-195.8462406,0,319,-133,-107,361.7996683,2.87395106,318.5789536,-134.8083894,-109.1936368,0
19:30.2,178,-104,-154,257.3246976,2.807610963,177.644758,-105.033814,-156.5860609,0,199,-73,-243,322.4577492,2.112853746,198.3000466,-73.96477244,-244.744543,0,305,-53,-192,364.2773669,4.346258061,303.116248,-53.74018293,-195.8462406,0,319,-134,-106,361.8742876,3.321157856,318.5789536,-134.8083894,-109.1936368,0
19:30.6,179,-104,-153,257.4218328,3.97055225,177.644758,-105.033814,-156.5860609,0,200,-74,-243,323.3032632,2.436085574,198.3000466,-73.96477244,-244.744543,0,304,-52,-193,363.8255076,3.451136011,303.116248,-53.74018293,-195.8462406,0,319,-134,-107,362.1684691,2.375461198,318.5789536,-134.8083894,-109.1936368,0
19:31.0,178,-105,-155,258.3292473,1.625708904,177.644758,-105.033814,-156.5860609,0,199,-74,-244,323.4393297,1.022506755,198.3000466,-73.96477244,-244.744543,0,305,-54,-195,366.0136609,2.081381687,303.116248,-53.74018293,-195.8462406,0,320,-134,-108,363.3455655,2.024261633,318.5789536,-134.8083894,-109.1936368,0
19:31.4,178,-106,-154,258.1394972,2.783419323,177.644758,-105.033814,-156.5860609,0,198,-73,-245,323.3542949,1.042147824,198.3000466,-73.96477244,-244.744543,0,304,-53,-194,364.5010288,2.176578215,303.116248,-53.74018293,-195.8462406,0,318,-134,-105,360.700707,4.30990374,318.5789536,-134.8083894,-109.1936368,0
19:31.9,179,-105,-153,257.8274617,3.833752349,177.644758,-105.033814,-156.5860609,0,200,-73,-239,320.0781155,6.067981694,198.3000466,-73.96477244,-244.744543,0,304,-54,-194,364.6477753,2.063280608,303.116248,-53.74018293,-195.8462406,0,320,-135,-109,364.013736,1.446921827,318.5789536,-134.8083894,-109.1936368,0
19:32.3,180,-105,-153,258.5227263,4.075947422,177.7625201,-105.0321233,-156.4067578,0,199,-75,-240,320.6649342,4.661037233,198.3350442,-74.01653382,-244.5073159,0,304,-54,-194,364.6477753,1.960116578,303.1604356,-53.75317378,-195.7539286,0,320,-134,-110,363.9450508,1.731787195,318.6500059,-134.7679699,-109.233955,0
19:32.7,179,-105,-154,258.4221353,2.706450041,177.7625201,-105.0321233,-156.4067578,0,200,-74,-245,324.8091747,1.736401077,198.3350442,-74.01653382,-244.5073159,0,305,-52,-194,365.1917305,3.087698329,303.1604356,-53.75317378,-195.7539286,0,319,-132,-105,360.8462276,5.070554995,318.6500059,-134.7679699,-109.233955,0
19:33.1,179,-105,-155,259.0193043,1.87386129,177.7625201,-105.0321233,-156.4067578,0,200,-74,-241,321.8027346,3.882475438,198.3350442,-74.01653382,-244.5073159,0,304,-53,-195,365.034245,1.35666777,303.1604356,-53.75317378,-195.7539286,0,320,-134,-107,363.0495834,2.720811761,318.6500059,-134.7679699,-109.233955,0
19:33.5,180,-105,-152,257.9321616,4.942354001,177.7625201,-105.0321233,-156.4067578,0,199,-73,-243,322.4577492,1.935848197,198.3350442,-74.01653382,-244.5073159,0,305,-54,-195,366.0136609,2.003329407,303.1604356,-53.75317378,-195.7539286,0,321,-134,-106,363.6385568,4.070714281,318.6500059,-134.7679699,-109.233955,0
19:34.0,179,-105,-153,257.8274617,3.624691368,177.7625201,-105.0321233,-156.4067578,0,201,-73,-241,322.1971446,4.5206852,198.3350442,-74.01653382,-244.5073159,0,305,-54,-194,365.4818737,2.553661262,303.1604356,-53.75317378,-195.7539286,0,320,-133,-104,361.8079601,5.687045475,318.6500059,-134.7679699,-109.233955,0
19:34.4,180,-104,-153,258.11819,4.204473103,177.7625201,-105.0321233,-156.4067578,0,200,-73,-241,321.5742527,4.013313241,198.3350442,-74.01653382,-244.5073159,0,305,-53,-192,364.2773669,4.247734414,303.1604356,-53.75317378,-195.7539286,0,320,-134,-107,363.0495834,2.720811761,318.6500059,-134.7679699,-109.233955,0
19:34.8,179,-105,-151,256.6456701,5.269325437,177.8243941,-105.0305172,-156.13642,0,200,-74,-239,320.3076646,5.465834634,198.418292,-74.01570713,-244.2319501,0,306,-53,-192,365.1150504,4.528459427,303.3024138,-53.71551509,-195.5662321,0,321,-132,-105,362.6154988,5.298795165,318.7675056,-134.6295714,-109.0222572,0
19:35.2,180,-105,-150,256.7586415,6.510748217,177.8243941,-105.0305172,-156.13642,0,201,-73,-240,321.4498406,5.060264649,198.418292,-74.01570713,-244.2319501,0,305,-52,-195,365.7239396,2.478993701,303.3024138,-53.71551509,-195.5662321,0,321,-134,-106,363.6385568,3.809780842,318.7675056,-134.6295714,-109.0222572,0
19:35.7,181,-106,-153,259.626655,4.567439122,177.8243941,-105.0305172,-156.13642,0,201,-72,-241,321.9720485,4.601498935,198.418292,-74.01570713,-244.2319501,0,305,-54,-191,363.8983375,4.87987771,303.3024138,-53.71551509,-195.5662321,0,321,-134,-106,363.6385568,3.809780842,318.7675056,-134.6295714,-109.0222572,0
19:36.1,180,-105,-151,257.3441276,5.578261596,177.8243941,-105.0305172,-156.13642,0,200,-76,-241,322.2685216,4.10910203,198.418292,-74.01570713,-244.2319501,0,307,-54,-193,366.6251492,4.50983622,303.3024138,-53.71551509,-195.5662321,0,322,-132,-106,363.7911489,5.147592114,318.7675056,-134.6295714,-109.0222572,0
19:36.5,180,-105,-155,259.7113783,2.454718477,177.8243941,-105.0305172,-156.13642,0,202,-74,-241,323.0495318,4.824352793,198.418292,-74.01570713,-244.2319501,0,306,-54,-192,365.2615501,4.480615426,303.3024138,-53.71551509,-195.5662321,0,322,-134,-101,363.09916,8.67190815,318.7675056,-134.6295714,-109.0222572,0
19:36.9,181,-105,-150,257.4606766,6.909490156,177.8243941,-105.0305172,-156.13642,0,202,-74,-241,323.0495318,4.824352793,198.418292,-74.01570713,-244.2319501,0,307,-53,-191,365.4298838,5.919001728,303.3024138,-53.71551509,-195.5662321,0,322,-135,-107,365.1821463,3.830895663,318.7675056,-134.6295714,-109.0222572,0
19:37.4,181,-105,-151,258.0445698,5.73694722,177.9831744,-105.0289913,-155.879599,0,203,-76,-242,324.8830559,5.195646074,198.6473774,-74.11492177,-244.1203526,0,307,-54,-192,366.0997132,4.887755724,303.4872931,-53.72973934,-195.3879205,0,322,-136,-103,364.4022503,6.622438785,318.9291303,-134.6980929,-108.7211444,0
19:37.8,182,-106,-153,260.3247971,5.036847847,177.9831744,-105.0289913,-155.879599,0,202,-75,-242,324.0262335,4.064398668,198.6473774,-74.11492177,-244.1203526,0,307,-54,-192,366.0997132,4.887755724,303.4872931,-53.72973934,-195.3879205,0,324,-134,-106,366.289503,5.797040581,318.9291303,-134.6980929,-108.7211444,0
