,Backward,Brand,Category,Class,Class_Target,Forward,Mag_Index,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
1683,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1684,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1685,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1686,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1687,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1688,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1689,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1690,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1691,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1692,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1693,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1694,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1695,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1696,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1697,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1698,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1699,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1700,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1701,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1702,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1703,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1704,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1705,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1706,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1707,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1708,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1709,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1710,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1711,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1712,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1713,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1714,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1715,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1716,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1717,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1718,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1719,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1720,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1721,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1722,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1723,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1724,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1725,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1726,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1727,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1728,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1729,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1730,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1731,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1732,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1733,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1734,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1735,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1736,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1737,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1738,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1739,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1740,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1741,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1742,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1743,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1744,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1745,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1746,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1747,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1748,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1749,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1750,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1751,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1752,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1753,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1754,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1755,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1756,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1757,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1758,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1759,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1760,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1761,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1762,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1763,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1764,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1765,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1766,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1767,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1768,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1769,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1770,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1771,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1772,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1773,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1774,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1775,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1776,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1777,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1778,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1779,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1780,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1781,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1782,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1783,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1784,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1785,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1786,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1787,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1788,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1789,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1790,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1791,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1792,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1793,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1794,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1795,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1796,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1797,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1798,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1799,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1800,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1801,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1802,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1803,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1804,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1805,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1806,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1807,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1808,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1809,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1810,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1811,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1812,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1813,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1814,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1815,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1816,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1817,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1818,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1819,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1820,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1821,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1822,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1823,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1824,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1825,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1826,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1827,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1828,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1829,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1830,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1831,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1832,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1833,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1834,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1835,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1836,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1837,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1838,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1839,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1840,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1841,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1842,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1843,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1844,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1845,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1846,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1847,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1848,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1849,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1850,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1851,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1852,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1853,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1854,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1855,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1856,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1857,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1858,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1859,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1860,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1861,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1862,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1863,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1864,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1865,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1866,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1867,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1868,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1869,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1870,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1871,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1872,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1873,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1874,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1875,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1876,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1877,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1878,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1879,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1880,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1881,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1882,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1883,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1884,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1885,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1886,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1887,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1888,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1889,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1890,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1891,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1892,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1893,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1894,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1895,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1896,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1897,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1898,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1899,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1900,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1901,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1902,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1903,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1904,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1905,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1906,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1907,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1908,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1909,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1910,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1911,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1912,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1913,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1914,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1915,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1916,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1917,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1918,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1919,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1920,0.0,toyota,clotplus,111.37762342589286,1,1,2.0,,,,,,,,,,,,,,,,,,,,,
1921,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1922,0.0,toyota,clotplus,222.75524685178573,2,1,2.0,,,,,,,,,,,,,,,,,,,,,
1923,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1924,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1925,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1926,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1927,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1928,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1929,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1930,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1931,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1932,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1933,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1934,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1935,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1936,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1937,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1938,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1939,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1940,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1941,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1942,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1943,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1944,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1945,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1946,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1947,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1948,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1949,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1950,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1951,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1952,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1953,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
1954,0.0,toyota,clotplus,0.0,0,1,2.0,,,,,,,,,,,,,,,,,,,,,
